1,Lusaka,000001,01
2,Ndola,000102,01
3,Acacia Park Branch,010086,02
4,Cairo Business Centre,010040,02
6,Chingola,010349,02
8,Chinsali Branch,011707,02
10,Chipata,011160,02
12,Chirundu,013582,02
13,Chisamba,014508,02
15,Choma,011259,02
17,Debt Recovery,010055,02
19,Digital,010093,02
21,Government Business Centre,010050,02
23,Government Complex,010084,02
25,Head Office,010001,02
27,Head Office Processing Centre,010016,02
29,Human Resources,010007,02
31,International Banking,010002,02
35,Kabwe,010946,02
38,Itezhi-Tezhi,014779,02
39,Kapiri Mposhi,012461,02
41,Kasama,010862,02
42,Kafue,013458,02
43,Kawambwa,012104,02
45,Kitwe Clearing Centre,010217,02
47,Kitwe Industrial,010256,02
49,Kitwe Obote,010245,02
51,Livingstone,011044,02
53,Luanshya,010763,02
55,Lundazi,012571,02
57,Lusaka Business Centre,010003,02
59,Lusaka Centre,010052,02
61,Lusaka City Market,010074,02
63,Lusaka Civic Centre,010067,02
65,Lusaka Kwacha,010053,02
67,Lusaka North end,010041,02
69,Lusaka Premium House,010066,02
73,Manda Hill,010078,02
75,Mansa,011948,02
76,Maamba,014070,02
77,Mazabuka,013647,02
81,Mkushi,012309,02
84,Mfuwe,012606,02
86,Monze,013757,02
87,Mongu,013151,02
88,Mpika,011865,02
90,Mufulira,010543,02
92,Mukuba branch,010298,02
94,Nakonde,011596,02
98,Ndola Business Centre,010142,02
99,Namwala,013372,02
100,Ndola Industrial,010164,02
102,Ndola West,010154,02
104,North mead,010075,02
108,Senanga,015181,02
109,Petauke,014305,02
110,Siavonga,013869,02
112,Solwezi,012868,02
114,Treasury,010018,02
116,Twin Palms Mall,010073,02
118,Waterfalls,010099,02
120,Woodlands,010085,02
122,Xapit,010083,02
125,Chambishi,025247,03
126,Chilenje,020018,03
127,Chililabombwe,020453,03
128,Chingola & Chingola Prestige,020303,03
129,Chipata,021104,03
130,Chirundu,023542,03
131,Choma,021205,03
132,Chongwe,024637,03
133,Elunda Premium Banking Centre,020055,03
134,Head Office,020001,03
135,Head Office -Elunda,020002,03
136,Kabwata,020043,03
137,Kabwe,020906,03
138,Kafue,023407,03
139,Kalomo,024127,03
140,Kalulushi,020648,03
